candidate_id,candidate_family,source_stage,target_bin_deg,anchor_candidate,source_reference,design_rationale,risk_level,expected_phase_direction,p1_length_nm,p1_width_nm,p2_length_nm,p2_width_nm,p1_frac_x,p1_frac_y,p2_frac_x,p2_frac_y,internal_dx_nm,internal_dy_nm,p1_rotation_deg,p2_rotation_deg,period_x_nm,period_y_nm,height_nm,material,substrate,requires_geometry_validation,requires_fdtd,status,notes
pl_pi_wrap_02,pi_wrap_from_focus_anchor,09-P27/P28,-180,focus_neg60_geom_04|next_zero_rot_anchor_03,focus_neg60_geom_04|next_zero_rot_anchor_03,Pi-wrap bridge with slightly safer dimensions.,moderate_to_high_risk,toward -180 with moderated asymmetry,114,64,100,138,0.75,0.75,0.25,0.25,36,34,67.5,112.5,340.0,340.0,300.0,c-Si,Al2O3,true,true,not_evaluated,Phase-lowering scaffold only; no FDTD/lumapi/.fsp/training in this stage; not a steering result.
pl_pi_wrap_03,pi_wrap_from_focus_anchor,09-P27/P28,-180,focus_neg60_geom_04|gap_lhs_leakred_06,focus_neg60_geom_04|gap_lhs_leakred_06,Lower-risk pi-wrap probe from focus quality anchor.,moderate_risk,toward -180 conservative pi bridge,118,66,98,140,0.75,0.75,0.25,0.25,34,32,67.5,112.5,340.0,340.0,300.0,c-Si,Al2O3,true,true,not_evaluated,Phase-lowering scaffold only; no FDTD/lumapi/.fsp/training in this stage; not a steering result.
pl_pi_wrap_04,pi_wrap_from_focus_anchor,09-P27/P28,-180,focus_neg60_geom_04,focus_neg60_geom_04,Controlled pi-wrap probe using focus anchor asymmetry without beta-selective p2.,moderate_to_high_risk,selected pi-bin phase-lowering probe,116,64,102,138,0.75,0.75,0.25,0.25,38,34,67.5,112.5,340.0,340.0,300.0,c-Si,Al2O3,true,true,not_evaluated,Phase-lowering scaffold only; no FDTD/lumapi/.fsp/training in this stage; not a steering result.
pl_pi_wrap_05,pi_wrap_from_focus_anchor,09-P27/P28,-180,focus_neg60_geom_04|fine_p1w_dx_08,focus_neg60_geom_04|fine_p1w_dx_08,Blend pi-wrap tendency with fine-anchor leakage control.,moderate_risk,toward -180 with fine leakage control,122,66,96,142,0.75,0.75,0.25,0.25,32,30,67.5,112.5,340.0,340.0,300.0,c-Si,Al2O3,true,true,not_evaluated,Phase-lowering scaffold only; no FDTD/lumapi/.fsp/training in this stage; not a steering result.
pl_pi_wrap_06,pi_wrap_from_focus_anchor,09-P27/P28,-180,focus_neg60_geom_04,focus_neg60_geom_04,Most aggressive aspect inversion tendency within bounds.,high_risk,aggressive pi-wrap,110,68,105,134,0.75,0.75,0.25,0.25,40,38,67.5,112.5,340.0,340.0,300.0,c-Si,Al2O3,true,true,not_evaluated,Phase-lowering scaffold only; no FDTD/lumapi/.fsp/training in this stage; not a steering result.
pl_pi_wrap_07,pi_wrap_from_focus_anchor,09-P27/P28,-180,focus_neg60_geom_04|aggr_p1w_leakctrl_04,focus_neg60_geom_04|aggr_p1w_leakctrl_04,"Limited rotation plus pi-wrap geometry, not global offset only.",moderate_to_high_risk,limited-rotation pi bridge,120,66,100,136,0.75,0.75,0.25,0.25,36,30,90.0,135.0,340.0,340.0,300.0,c-Si,Al2O3,true,true,not_evaluated,Phase-lowering scaffold only; no FDTD/lumapi/.fsp/training in this stage; not a steering result.
pl_coupled_push_01,coupled_dx_dy_phase_push,09-P27/P28,-60,focus_neg60_geom_04,focus_neg60_geom_04,Extreme coupled dx/dy from focus anchor.,high_risk,strong coupled push toward -60,118,58,80,148,0.75,0.75,0.25,0.25,-40,-40,67.5,112.5,340.0,340.0,300.0,c-Si,Al2O3,true,true,not_evaluated,Phase-lowering scaffold only; no FDTD/lumapi/.fsp/training in this stage; not a steering result.
pl_coupled_push_02,coupled_dx_dy_phase_push,09-P27/P28,0,focus_neg60_geom_04,focus_neg60_geom_04,Separate dx and dy effects while keeping focus geometry.,moderate_to_high_risk,toward 0 by removing dy,118,58,80,148,0.75,0.75,0.25,0.25,-40,0,45.0,90.0,340.0,340.0,300.0,c-Si,Al2O3,true,true,not_evaluated,Phase-lowering scaffold only; no FDTD/lumapi/.fsp/training in this stage; not a steering result.
pl_coupled_push_03,coupled_dx_dy_phase_push,09-P27/P28,-120,focus_neg60_geom_04,focus_neg60_geom_04,Flip dx sign while retaining negative dy to test phase reversal.,high_risk,toward -120 via dx sign flip,116,60,82,146,0.75,0.75,0.25,0.25,36,-36,67.5,112.5,340.0,340.0,300.0,c-Si,Al2O3,true,true,not_evaluated,Phase-lowering scaffold only; no FDTD/lumapi/.fsp/training in this stage; not a steering result.
pl_coupled_push_04,coupled_dx_dy_phase_push,09-P27/P28,-60,focus_neg60_geom_04|fine_p1w_dx_03,focus_neg60_geom_04|fine_p1w_dx_03,Use fine p1w width while increasing negative dy.,moderate_risk,toward -60 with fine width control,124,56,84,146,0.75,0.75,0.25,0.25,-34,-38,67.5,112.5,340.0,340.0,300.0,c-Si,Al2O3,true,true,not_evaluated,Phase-lowering scaffold only; no FDTD/lumapi/.fsp/training in this stage; not a steering result.
pl_coupled_push_05,coupled_dx_dy_phase_push,09-P27/P28,-120,focus_neg60_geom_04,focus_neg60_geom_04,Moderated dx sign flip for negative phase.,moderate_to_high_risk,toward -120 with coupled inversion,116,58,84,144,0.75,0.75,0.25,0.25,34,-38,67.5,112.5,340.0,340.0,300.0,c-Si,Al2O3,true,true,not_evaluated,Phase-lowering scaffold only; no FDTD/lumapi/.fsp/training in this stage; not a steering result.
pl_coupled_push_06,coupled_dx_dy_phase_push,09-P27/P28,0,focus_neg60_geom_04|next_zero_rot_anchor_03,focus_neg60_geom_04|next_zero_rot_anchor_03,Reduced dy from zero evidence to control leakage.,moderate_risk,toward 0 with controlled dy,116,58,78,142,0.75,0.75,0.25,0.25,-38,12,45.0,90.0,340.0,340.0,300.0,c-Si,Al2O3,true,true,not_evaluated,Phase-lowering scaffold only; no FDTD/lumapi/.fsp/training in this stage; not a steering result.
pl_coupled_push_07,coupled_dx_dy_phase_push,09-P27/P28,-180,focus_neg60_geom_04,focus_neg60_geom_04,Test phase wrap with same-sign dx/dy from focus anchor.,high_risk,toward -180 via same-sign coupling,112,64,104,134,0.75,0.75,0.25,0.25,40,40,67.5,112.5,340.0,340.0,300.0,c-Si,Al2O3,true,true,not_evaluated,Phase-lowering scaffold only; no FDTD/lumapi/.fsp/training in this stage; not a steering result.
pl_neg120_aspect_01,aspect_ratio_inversion_probe,09-P27/P28,-120,focus_neg60_geom_04,focus_neg60_geom_04,Length asymmetry and p2 length increase without beta-selective width swap.,moderate_to_high_risk,toward -120 with aspect inversion,112,62,104,136,0.75,0.75,0.25,0.25,34,-34,67.5,112.5,340.0,340.0,300.0,c-Si,Al2O3,true,true,not_evaluated,Phase-lowering scaffold only; no FDTD/lumapi/.fsp/training in this stage; not a steering result.
pl_neg120_aspect_02,aspect_ratio_inversion_probe,09-P27/P28,-120,focus_neg60_geom_04,focus_neg60_geom_04,Aggressive aspect-ratio inversion tendency.,high_risk,strong aspect inversion toward -120,110,64,104,134,0.75,0.75,0.25,0.25,38,-36,67.5,112.5,340.0,340.0,300.0,c-Si,Al2O3,true,true,not_evaluated,Phase-lowering scaffold only; no FDTD/lumapi/.fsp/training in this stage; not a steering result.
pl_neg120_aspect_03,aspect_ratio_inversion_probe,09-P27/P28,-120,focus_neg60_geom_04|gap_lhs_leakred_06,focus_neg60_geom_04|gap_lhs_leakred_06,Controlled aspect-ratio inversion with leakage-aware dimensions.,moderate_to_high_risk,selected -120 aspect probe,114,62,102,138,0.75,0.75,0.25,0.25,36,-34,67.5,112.5,340.0,340.0,300.0,c-Si,Al2O3,true,true,not_evaluated,Phase-lowering scaffold only; no FDTD/lumapi/.fsp/training in this stage; not a steering result.
pl_neg120_aspect_04,aspect_ratio_inversion_probe,09-P27/P28,-120,focus_neg60_geom_04|fine_p1w_dx_08,focus_neg60_geom_04|fine_p1w_dx_08,Lower-risk asymmetry bridge.,moderate_risk,toward -120 conservative aspect probe,120,60,98,142,0.75,0.75,0.25,0.25,32,-32,67.5,112.5,340.0,340.0,300.0,c-Si,Al2O3,true,true,not_evaluated,Phase-lowering scaffold only; no FDTD/lumapi/.fsp/training in this stage; not a steering result.
pl_neg120_aspect_05,aspect_ratio_inversion_probe,09-P27/P28,-120,focus_neg60_geom_04,focus_neg60_geom_04,Push aspect contrast while monitoring leakage risk.,high_risk,toward -120 with p1 widening,116,66,104,132,0.75,0.75,0.25,0.25,40,-30,67.5,112.5,340.0,340.0,300.0,c-Si,Al2O3,true,true,not_evaluated,Phase-lowering scaffold only; no FDTD/lumapi/.fsp/training in this stage; not a steering result.
pl_neg120_aspect_06,aspect_ratio_inversion_probe,09-P27/P28,-60,focus_neg60_geom_04|aggr_p1w_leakctrl_04,focus_neg60_geom_04|aggr_p1w_leakctrl_04,"Moderated aspect contrast, may land between bins.",moderate_risk,toward -60/-120 bridge,120,62,96,144,0.75,0.75,0.25,0.25,28,-28,67.5,112.5,340.0,340.0,300.0,c-Si,Al2O3,true,true,not_evaluated,Phase-lowering scaffold only; no FDTD/lumapi/.fsp/training in this stage; not a steering result.
pl_neg120_aspect_07,aspect_ratio_inversion_probe,09-P27/P28,-180,focus_neg60_geom_04,focus_neg60_geom_04,Strongest aspect inversion allowed by bounds.,high_risk,toward -180 aspect wrap,110,70,105,132,0.75,0.75,0.25,0.25,40,34,67.5,112.5,340.0,340.0,300.0,c-Si,Al2O3,true,true,not_evaluated,Phase-lowering scaffold only; no FDTD/lumapi/.fsp/training in this stage; not a steering result.
pl_mixed_safe_01,mixed_negative_phase_safe_probe,09-P27/P28,0,focus_neg60_geom_04|aggr_lhs_retention_dy_05,focus_neg60_geom_04|aggr_lhs_retention_dy_05,Low-risk bridge from focus quality anchor toward 0 evidence.,low_to_moderate_risk,toward 0 safely,118,60,80,140,0.75,0.75,0.25,0.25,-30,20,45.0,90.0,340.0,340.0,300.0,c-Si,Al2O3,true,true,not_evaluated,Phase-lowering scaffold only; no FDTD/lumapi/.fsp/training in this stage; not a steering result.
pl_mixed_safe_02,mixed_negative_phase_safe_probe,09-P27/P28,-60,focus_neg60_geom_04|gap_lhs_leakred_06,focus_neg60_geom_04|gap_lhs_leakred_06,Moderate displacement and known leakage-control dimensions.,moderate_risk,toward -60 safely,122,60,82,144,0.75,0.75,0.25,0.25,-30,-30,67.5,112.5,340.0,340.0,300.0,c-Si,Al2O3,true,true,not_evaluated,Phase-lowering scaffold only; no FDTD/lumapi/.fsp/training in this stage; not a steering result.
pl_mixed_safe_03,mixed_negative_phase_safe_probe,09-P27/P28,-120,focus_neg60_geom_04|fine_p1w_dx_03,focus_neg60_geom_04|fine_p1w_dx_03,Bridge to negative phase without aggressive aspect inversion.,moderate_risk,toward -120 safely,124,58,90,144,0.75,0.75,0.25,0.25,28,-28,67.5,112.5,340.0,340.0,300.0,c-Si,Al2O3,true,true,not_evaluated,Phase-lowering scaffold only; no FDTD/lumapi/.fsp/training in this stage; not a steering result.
pl_mixed_safe_04,mixed_negative_phase_safe_probe,09-P27/P28,-180,focus_neg60_geom_04|fine_p1w_dx_08,focus_neg60_geom_04|fine_p1w_dx_08,Pi-wrap tendency with moderated dimensions.,moderate_to_high_risk,toward -180 safely,126,62,92,140,0.75,0.75,0.25,0.25,30,30,67.5,112.5,340.0,340.0,300.0,c-Si,Al2O3,true,true,not_evaluated,Phase-lowering scaffold only; no FDTD/lumapi/.fsp/training in this stage; not a steering result.
pl_mixed_safe_05,mixed_negative_phase_safe_probe,09-P27/P28,-60,focus_neg60_geom_04|next_zero_rot_anchor_03,focus_neg60_geom_04|next_zero_rot_anchor_03,"Limited rotation and moderate dx/dy, not global offset only.",moderate_risk,toward -60 with limited rotation,116,58,82,146,0.75,0.75,0.25,0.25,-34,-24,45.0,90.0,340.0,340.0,300.0,c-Si,Al2O3,true,true,not_evaluated,Phase-lowering scaffold only; no FDTD/lumapi/.fsp/training in this stage; not a steering result.
pl_mixed_safe_06,mixed_negative_phase_safe_probe,09-P27/P28,0,focus_neg60_geom_04|focus_zero_leakred_07,focus_neg60_geom_04|focus_zero_leakred_07,Safest 0 bridge but may not move phase enough.,low_to_moderate_risk,toward 0 with low risk,118,60,80,140,0.75,0.75,0.25,0.25,-34,18,45.0,90.0,340.0,340.0,300.0,c-Si,Al2O3,true,true,not_evaluated,Phase-lowering scaffold only; no FDTD/lumapi/.fsp/training in this stage; not a steering result.
pl_mixed_safe_07,mixed_negative_phase_safe_probe,09-P27/P28,-120,focus_neg60_geom_04|aggr_p1w_leakctrl_04,focus_neg60_geom_04|aggr_p1w_leakctrl_04,Alternative limited-rotation negative phase probe.,moderate_to_high_risk,toward -120 with limited rotation,120,60,96,142,0.75,0.75,0.25,0.25,30,-26,90.0,135.0,340.0,340.0,300.0,c-Si,Al2O3,true,true,not_evaluated,Phase-lowering scaffold only; no FDTD/lumapi/.fsp/training in this stage; not a steering result.
